country,year,mdrrr_tb,prev_false,prev_true,lag_tr,lag_tr_rate
Brazil,2019,1039,21,0,8,0.006993006993006993
Brazil,2020,960,4,0,10,0.009624639076034648
Georgia,2017,339,3,1,87.05284329084981,0.2170893847652115
Georgia,2018,311,19,1,45,0.13274336283185842
Georgia,2019,319,18,0,117,0.3762057877813505
Malaysia,2018,192,2,0,9.166666666666668,0.02604166666666667
Malaysia,2019,169,2,0,5,0.026041666666666668
Philippines,2019,7492,6,0,72,0.009895547003848268
Philippines,2020,8401,3,0,347,0.04631607047517352
Republic of Moldova,2019,655,9,0,83,0.0895361380798274
Russian Federation,2018,27438,4,1,3167,0.11905119915795805
Russian Federation,2019,27207,55,3,6436,0.23456520154530214
Russian Federation,2020,25301,4,0,7478,0.2748557356562649
South Africa,2015,19613,18,0,142,0.007579801430554073
South Africa,2016,19073,10,0,1724,0.0879008820680161
South Africa,2017,15986,27,3,5753.86541065935,0.30167595085510146
South Africa,2018,13199,41,2,8240,0.5154510196421869
South Africa,2019,13005,68,1,7447,0.564209409803773
South Africa,2020,7497,6,0,8537,0.6564398308342945
Uganda,2019,549,7,0,52,0.10077519379844961
Uganda,2020,496,1,0,99,0.18032786885245902
United Republic of Tanzania,2019,534,6,0,38,0.08463251670378619
